date, price
2010/7/18,0.1
2010/7/19,0.1
2010/7/20,0.1
2010/7/21,0.1
2010/7/22,0.1
2010/7/23,0.1
2010/7/24,0.1
2010/7/25,0.1
2010/7/26,0.1
2010/7/27,0.1
2010/7/28,0.1
2010/7/29,0.1
2010/7/30,0.1
2010/7/31,0.1
2010/8/1,0.1
2010/8/2,0.1
2010/8/3,0.1
2010/8/4,0.1
2010/8/5,0.1
2010/8/6,0.1
2010/8/7,0.1
2010/8/8,0.1
2010/8/9,0.1
2010/8/10,0.1
2010/8/11,0.1
2010/8/12,0.1
2010/8/13,0.1
2010/8/14,0.1
2010/8/15,0.1
2010/8/16,0.1
2010/8/17,0.1
2010/8/18,0.1
2010/8/19,0.1
2010/8/20,0.1
2010/8/21,0.1
2010/8/22,0.1
2010/8/23,0.1
2010/8/24,0.1
2010/8/25,0.1
2010/8/26,0.1
2010/8/27,0.1
2010/8/28,0.1
2010/8/29,0.1
2010/8/30,0
2010/8/31,0.1
2010/9/1,0.1
2010/9/2,0.1
2010/9/3,0.1
2010/9/4,0.1
2010/9/5,0.1
2010/9/6,0.1
2010/9/7,0.1
2010/9/8,0.1
2010/9/9,0.1
2010/9/10,0.1
2010/9/11,0.1
2010/9/12,0.1
2010/9/13,0.1
2010/9/14,0.1
2010/9/15,0.1
2010/9/16,0.1
2010/9/17,0.1
2010/9/18,0.1
2010/9/19,0.1
2010/9/20,0.1
2010/9/21,0.1
2010/9/22,0.1
2010/9/23,0.1
2010/9/24,0.1
2010/9/25,0.1
2010/9/26,0.1
2010/9/27,0.1
2010/9/28,0.1
2010/9/29,0.1
2010/9/30,0.1
2010/10/1,0.1
2010/10/2,0.1
2010/10/3,0.1
2010/10/4,0.1
2010/10/5,0.1
2010/10/6,0.1
2010/10/7,0.1
2010/10/8,0
2010/10/9,0.1
2010/10/10,0.1
2010/10/11,0.1
2010/10/12,0.1
2010/10/13,0.1
2010/10/14,0.1
2010/10/15,0.1
2010/10/16,0.1
2010/10/17,0.1
2010/10/18,0.1
2010/10/19,0.1
2010/10/20,0.1
2010/10/21,0.1
2010/10/22,0.1
2010/10/23,0.1
2010/10/24,0.1
2010/10/25,0.1
2010/10/26,0.1
2010/10/27,0.2
2010/10/28,0.2
2010/10/29,0.2
2010/10/30,0.2
2010/10/31,0.2
2010/11/1,0.2
2010/11/2,0.2
2010/11/3,0.1
2010/11/4,0.2
2010/11/5,0.2
2010/11/6,0.2
2010/11/7,0.3
2010/11/8,0.2
2010/11/9,0.2
2010/11/10,0.1
2010/11/11,0.2
2010/11/12,0.2
2010/11/13,0.3
2010/11/14,0.3
2010/11/15,0.3
2010/11/16,0.2
2010/11/17,0.2
2010/11/18,0.2
2010/11/19,0.3
2010/11/20,0.3
2010/11/21,0.3
2010/11/22,0.3
2010/11/23,0.3
2010/11/24,0.3
2010/11/25,0.3
2010/11/26,0.3
2010/11/27,0.3
2010/11/28,0.3
2010/11/29,0.2
2010/11/30,0.2
2010/12/1,0.2
2010/12/2,0.2
2010/12/3,0.2
2010/12/4,0.2
2010/12/5,0.2
2010/12/6,0.2
2010/12/7,0.2
2010/12/8,0.2
2010/12/9,0.2
2010/12/10,0.2
2010/12/11,0.2
2010/12/12,0.2
2010/12/13,0.2
2010/12/14,0.2
2010/12/15,0.2
2010/12/16,0.2
2010/12/17,0.2
2010/12/18,0.2
2010/12/19,0.2
2010/12/20,0.2
2010/12/21,0.2
2010/12/22,0.2
2010/12/23,0.2
2010/12/24,0.2
2010/12/25,0.2
2010/12/26,0.2
2010/12/27,0.3
2010/12/28,0.3
2010/12/29,0.3
2010/12/30,0.3
2010/12/31,0.3
2011/1/1,0.3
2011/1/2,0.3
2011/1/3,0.3
2011/1/4,0.3
2011/1/5,0.3
2011/1/6,0.3
2011/1/7,0.3
2011/1/8,0.3
2011/1/9,0.3
2011/1/10,0.3
2011/1/11,0.3
2011/1/12,0.3
2011/1/13,0.3
2011/1/14,0.3
2011/1/15,0.4
2011/1/16,0.4
2011/1/17,0.3
2011/1/18,0.3
2011/1/19,0.3
2011/1/20,0.3
2011/1/21,0.4
2011/1/22,0.4
2011/1/23,0.4
2011/1/24,0.4
2011/1/25,0.4
2011/1/26,0.4
2011/1/27,0.4
2011/1/28,0.4
2011/1/29,0.4
2011/1/30,0.4
2011/1/31,0.5
2011/2/1,0.5
2011/2/2,0.7
2011/2/3,0.7
2011/2/4,0.7
2011/2/5,0.8
2011/2/6,0.8
2011/2/7,0.8
2011/2/8,0.9
2011/2/9,0.8
2011/2/10,0.8
2011/2/11,0.9
2011/2/12,1
2011/2/13,1
2011/2/14,1
2011/2/15,1
2011/2/16,1
2011/2/17,1
2011/2/18,0.8
2011/2/19,0.8
2011/2/20,0.8
2011/2/21,0.8
2011/2/22,0.8
2011/2/23,0.9
2011/2/24,0.9
2011/2/25,0.9
2011/2/26,0.9
2011/2/27,0.9
2011/2/28,0.8
2011/3/1,0.9
2011/3/2,0.9
2011/3/3,0.9
2011/3/4,0.9
2011/3/5,0.8
2011/3/6,0.8
2011/3/7,0.8
2011/3/8,0.9
2011/3/9,0.9
2011/3/10,0.8
2011/3/11,0.9
2011/3/12,0.9
2011/3/13,0.9
2011/3/14,0.9
2011/3/15,0.9
2011/3/16,0.8
2011/3/17,0.8
2011/3/18,0.7
2011/3/19,0.7
2011/3/20,0.7
2011/3/21,0.7
2011/3/22,0.7
2011/3/23,0.8
2011/3/24,0.8
2011/3/25,0.9
2011/3/26,0.8
2011/3/27,0.8
2011/3/28,0.8
2011/3/29,0.8
2011/3/30,0.8
2011/3/31,0.8
2011/4/1,0.8
2011/4/2,0.8
2011/4/3,0.8
2011/4/4,0.6
2011/4/5,0.6
2011/4/6,0.7
2011/4/7,0.7
2011/4/8,0.7
2011/4/9,0.7
2011/4/10,0.7
2011/4/11,0.7
2011/4/12,0.8
2011/4/13,0.9
2011/4/14,0.9
2011/4/15,0.9
2011/4/16,1
2011/4/17,1
2011/4/18,1.1
2011/4/19,1.1
2011/4/20,1.1
2011/4/21,1.1
2011/4/22,1.2
2011/4/23,1.3
2011/4/24,1.6
2011/4/25,1.5
2011/4/26,1.5
2011/4/27,1.7
2011/4/28,1.7
2011/4/29,2.2
2011/4/30,2.8
2011/5/1,2.5
2011/5/2,3
2011/5/3,3.1
2011/5/4,3.3
2011/5/5,3.3
2011/5/6,3.3
2011/5/7,3.4
2011/5/8,3.6
2011/5/9,3.7
2011/5/10,3.8
2011/5/11,4.6
2011/5/12,5.2
2011/5/13,6.3
2011/5/14,5.8
2011/5/15,6.2
2011/5/16,6.8
2011/5/17,7
2011/5/18,6.6
2011/5/19,6.6
2011/5/20,5.6
2011/5/21,5.6
2011/5/22,6
2011/5/23,6.7
2011/5/24,7
2011/5/25,7.2
2011/5/26,8
2011/5/27,8.5
2011/5/28,8.1
2011/5/29,8.1
2011/5/30,8.3
2011/5/31,8.1
2011/6/1,8.3
2011/6/2,9.5
2011/6/3,10.6
2011/6/4,14
2011/6/5,16.2
2011/6/6,16.5
2011/6/7,18.3
2011/6/8,22.2
2011/6/9,26.1
2011/6/10,20
2011/6/11,13
2011/6/12,10.3
2011/6/13,16
2011/6/14,18
2011/6/15,19
2011/6/16,17
2011/6/17,13
2011/6/18,15.1
2011/6/19,16.9
2011/6/20,17.5
2011/6/21,17.5
2011/6/22,17.5
2011/6/23,17.5
2011/6/24,17.5
2011/6/25,17.5
2011/6/26,14
2011/6/27,15
2011/6/28,16.5
2011/6/29,16.7
2011/6/30,15.7
2011/7/1,15.3
2011/7/2,15.3
2011/7/3,15.3
2011/7/4,13.1
2011/7/5,11
2011/7/6,12.7
2011/7/7,14.5
2011/7/8,13.9
2011/7/9,14
2011/7/10,14.4
2011/7/11,13.8
2011/7/12,13.9
2011/7/13,13.9
2011/7/14,13.7
2011/7/15,13.5
2011/7/16,13.5
2011/7/17,13
2011/7/18,12.5
2011/7/19,13.4
2011/7/20,13.4
2011/7/21,13.4
2011/7/22,13.4
2011/7/23,13.5
2011/7/24,13.6
2011/7/25,13.8
2011/7/26,13.8
2011/7/27,13.9
2011/7/28,13.3
2011/7/29,13.3
2011/7/30,13.4
2011/7/31,12.8
2011/8/1,12.9
2011/8/2,11.5
2011/8/3,8.7
2011/8/4,9.3
2011/8/5,9.5
2011/8/6,5.7
2011/8/7,6
2011/8/8,7.1
2011/8/9,7.7
2011/8/10,9.5
2011/8/11,8.4
2011/8/12,8.9
2011/8/13,9.3
2011/8/14,9.6
2011/8/15,10.7
2011/8/16,10.8
2011/8/17,10.7
2011/8/18,10.8
2011/8/19,10.8
2011/8/20,11.4
2011/8/21,11.3
2011/8/22,10.5
2011/8/23,10.8
2011/8/24,10.8
2011/8/25,9.1
2011/8/26,7.6
2011/8/27,8.1
2011/8/28,8.4
2011/8/29,8.6
2011/8/30,8.6
2011/8/31,8
2011/9/1,8.1
2011/9/2,8.2
2011/9/3,8.4
2011/9/4,7.8
2011/9/5,7.3
2011/9/6,6.1
2011/9/7,6.5
2011/9/8,6.5
2011/9/9,4.2
2011/9/10,4.6
2011/9/11,4.6
2011/9/12,5.4
2011/9/13,5.7
2011/9/14,5.3
2011/9/15,4.4
2011/9/16,4.6
2011/9/17,4.7
2011/9/18,4.7
2011/9/19,4.9
2011/9/20,5.4
2011/9/21,5.1
2011/9/22,5.3
2011/9/23,5.4
2011/9/24,5.3
2011/9/25,5.3
2011/9/26,4.7
2011/9/27,4.8
2011/9/28,4.6
2011/9/29,4.7
2011/9/30,4.7
2011/10/1,4.9
2011/10/2,4.9
2011/10/3,4.9
2011/10/4,4.9
2011/10/5,4.8
2011/10/6,4.5
2011/10/7,3.8
2011/10/8,3.8
2011/10/9,4
2011/10/10,4
2011/10/11,3.8
2011/10/12,3.9
2011/10/13,4
2011/10/14,4
2011/10/15,3.7
2011/10/16,3.4
2011/10/17,2.3
2011/10/18,2.3
2011/10/19,2
2011/10/20,2.2
2011/10/21,2.3
2011/10/22,2.5
2011/10/23,3
2011/10/24,2.5
2011/10/25,2.4
2011/10/26,2.7
2011/10/27,2.7
2011/10/28,2.9
2011/10/29,3.1
2011/10/30,3.2
2011/10/31,3.1
2011/11/1,3.1
2011/11/2,3.1
2011/11/3,3.1
2011/11/4,3
2011/11/5,2.8
2011/11/6,2.9
2011/11/7,3
2011/11/8,3
2011/11/9,2.9
2011/11/10,2.8
2011/11/11,2.8
2011/11/12,3
2011/11/13,3
2011/11/14,2.1
2011/11/15,2.1
2011/11/16,2.3
2011/11/17,2
2011/11/18,2
2011/11/19,2
2011/11/20,2.2
2011/11/21,2.2
2011/11/22,2.3
2011/11/23,2.3
2011/11/24,2.3
2011/11/25,2.4
2011/11/26,2.4
2011/11/27,2.4
2011/11/28,2.4
2011/11/29,2.5
2011/11/30,2.7
2011/12/1,2.9
2011/12/2,3
2011/12/3,2.8
2011/12/4,2.6
2011/12/5,2.8
2011/12/6,2.9
2011/12/7,2.9
2011/12/8,2.9
2011/12/9,2.9
2011/12/10,2.9
2011/12/11,3
2011/12/12,3.1
2011/12/13,3.1
2011/12/14,3
2011/12/15,3.1
2011/12/16,3.2
2011/12/17,3.2
2011/12/18,3.2
2011/12/19,3.2
2011/12/20,3.5
2011/12/21,3.8
2011/12/22,3.5
2011/12/23,3.8
2011/12/24,3.9
2011/12/25,3.8
2011/12/26,3.8
2011/12/27,4
2011/12/28,4
2011/12/29,4.1
2011/12/30,4.1
2011/12/31,4.2
2012/1/1,4.6
2012/1/2,4.8
2012/1/3,4.7
2012/1/4,4.8
2012/1/5,5.6
2012/1/6,6.1
2012/1/7,6.4
2012/1/8,6.7
2012/1/9,5.8
2012/1/10,6
2012/1/11,6.4
2012/1/12,6.3
2012/1/13,6.4
2012/1/14,6.2
2012/1/15,6.7
2012/1/16,6.5
2012/1/17,4.6
2012/1/18,5.1
2012/1/19,5.9
2012/1/20,6.3
2012/1/21,6.1
2012/1/22,6.1
2012/1/23,6.2
2012/1/24,6.2
2012/1/25,5.5
2012/1/26,5.3
2012/1/27,5.1
2012/1/28,5.3
2012/1/29,5.3
2012/1/30,5.4
2012/1/31,5.4
2012/2/1,5.5
2012/2/2,5.8
2012/2/3,5.7
2012/2/4,5.8
2012/2/5,5.4
2012/2/6,5.4
2012/2/7,5.4
2012/2/8,5.3
2012/2/9,5.5
2012/2/10,5.8
2012/2/11,5.5
2012/2/12,5.4
2012/2/13,5.2
2012/2/14,4.2
2012/2/15,4.2
2012/2/16,3.9
2012/2/17,4.2
2012/2/18,4.1
2012/2/19,4.2
2012/2/20,4.3
2012/2/21,4.2
2012/2/22,4.3
2012/2/23,4.4
2012/2/24,4.8
2012/2/25,4.7
2012/2/26,4.8
2012/2/27,4.9
2012/2/28,4.7
2012/2/29,4.8
2012/3/1,4.9
2012/3/2,4.5
2012/3/3,4.5
2012/3/4,4.6
2012/3/5,4.8
2012/3/6,4.9
2012/3/7,4.8
2012/3/8,4.8
2012/3/9,4.8
